alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0,,0,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,0.7216603755950928
15,,0.0,0.0949,827.3514,0.7302,0.6874,0.4946,0.0998,0.0998,0.051,0.0444,0.0444,0.0505,0.0936,0.0936,0.107,0.15312647819519043
30,,0.0,0.072,793.0197,0.6884,0.7425,0.5552,0.0745,0.0745,0.0488,0.0371,0.0371,0.0349,0.0714,0.0714,0.0767,0.15265703201293945
50,,0.0,0.0543,768.9534,0.654,0.7943,0.6108,0.0565,0.0565,0.0342,0.0279,0.0279,0.0264,0.0532,0.0532,0.0639,0.15309381484985352
75,,0.0,0.0405,744.6112,0.6237,0.8361,0.6523,0.0419,0.0419,0.0275,0.0197,0.0197,0.0208,0.0401,0.0401,0.0436,0.15311264991760254
100,,0.0,0.0306,738.6926,0.6102,0.8557,0.6646,0.0319,0.0319,0.0194,0.0163,0.0163,0.0143,0.0302,0.0302,0.0344,0.1530916690826416
