alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0,,0,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,2.820650100708008
0.01,,0.0,0.109,740.8008,0.7112,0.6866,0.5016,0.1137,0.1137,0.0667,0.0591,0.0591,0.05,0.1093,0.1093,0.1061,16.76367950439453
0.05,,0.0,0.107,659.1011,0.6994,0.6939,0.5159,0.1117,0.1117,0.0649,0.0622,0.0622,0.0449,0.1067,0.1067,0.1102,16.723743438720703
0.1,,0.0,0.0925,565.0467,0.7037,0.6992,0.5212,0.0958,0.0958,0.0626,0.067,0.067,0.0254,0.0924,0.0924,0.0932,16.706615447998047
0.2,,0.0,0.0851,513.4019,0.7181,0.7,0.5165,0.0877,0.0877,0.062,0.07,0.07,0.0151,0.0851,0.0851,0.0853,16.70704460144043
0.4,,0.0,0.0808,487.192,0.7286,0.7032,0.5072,0.0832,0.0832,0.0586,0.0712,0.0712,0.0095,0.0814,0.0814,0.075,16.7156925201416
0.6,,0.0,0.0796,478.5253,0.7334,0.7032,0.501,0.0818,0.0818,0.0593,0.0718,0.0718,0.0078,0.0807,0.0807,0.0691,16.7181396484375
0.8,,0.0,0.079,474.1037,0.736,0.703,0.4958,0.0813,0.0813,0.0584,0.0721,0.0721,0.0069,0.0802,0.0802,0.0678,16.720312118530273
1.0,,0.0,0.0782,471.6367,0.7376,0.703,0.4937,0.0804,0.0804,0.0587,0.0722,0.0722,0.0061,0.0795,0.0795,0.0664,16.729040145874023
