alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
0,,0,0.1213,835.3619,0.742,0.6722,0.4797,0.1271,0.1271,0.0688,0.0541,0.0541,0.0672,0.1193,0.1193,0.1395,4.494112968444824
0.01,,0.0,0.1207,829.3596,0.7403,0.6731,0.4805,0.1266,0.1266,0.0681,0.0543,0.0543,0.0665,0.1188,0.1188,0.138,0.42116498947143555
0.05,,0.0,0.1194,807.0582,0.7329,0.6798,0.4858,0.1253,0.1253,0.0666,0.0551,0.0551,0.0643,0.1172,0.1172,0.14,0.4202456474304199
0.1,,0.0,0.1179,779.6022,0.724,0.6866,0.4963,0.1236,0.1236,0.0666,0.056,0.056,0.0619,0.1156,0.1156,0.1385,0.4206981658935547
0.2,,0.0,0.1151,734.0706,0.7088,0.6951,0.5092,0.1205,0.1205,0.0659,0.0579,0.0579,0.0572,0.1132,0.1132,0.1321,0.4202902317047119
0.4,,0.0,0.1091,664.4947,0.6872,0.7109,0.5277,0.1141,0.1141,0.0645,0.0605,0.0605,0.0486,0.1076,0.1076,0.1228,0.42050886154174805
0.6,,0.0,0.1035,618.3212,0.6735,0.7226,0.5397,0.1079,0.1079,0.0642,0.0615,0.0615,0.042,0.1024,0.1024,0.1139,0.4200904369354248
0.8,,0.0,0.1004,585.6102,0.6648,0.7284,0.5487,0.1044,0.1044,0.0638,0.0627,0.0627,0.0377,0.0994,0.0994,0.1086,0.42052268981933594
1.0,,0.0,0.0976,561.2224,0.659,0.7334,0.5569,0.1014,0.1014,0.0636,0.0628,0.0628,0.0348,0.0967,0.0967,0.1054,0.42035913467407227
